"","Phylum","Class","Order","Family","WW","SM"
"1","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae",2,NA
"2","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae",2,NA
"3","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae",2,3
"4","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae",17,NA
"5","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae",1,1
"6","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",4,NA
"7","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",1,NA
"8","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",6,NA
"9","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",1,NA
"10","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae",4,4
"11","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae",1,NA
