"","SampleID","Dataset","Date","Time","Season","LocationID","Location","Location_long","Depth","Depth_m","Secchi_depth","Temperature_sea","Salinity","Dissolved_Oxygen","DOC","TDN","DON","DIN","C_N","NO2","NO3","NO2_NO3","PO4","NH4","SiO3","Chl_A.1","BCP_C","BCP_C_STDEV","BA_FC","BA_FC_STDEV","CFU","Coliform_bacteria","Category"
"1",1,2015,"24.03.2015","","spring","00RI","R-Mouth","River Mouth","surface",0,NA,8.3,10.9,9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"source"
"2",2,2015,"24.03.2015","","spring","ERI2","R-Estuary-1","River Estuary 1","surface",0,NA,10.4,21.4,8.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"source"
"3",3,2015,"24.03.2015","","spring","000K","NS-Marine","Nearshore Marine Station","surface",0,NA,10.5,37,7.62,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sink"
"4",4,2015,"15.07.2015","","summer","00RI","R-Mouth","River Mouth","surface",0,NA,21.7,14.1,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,"source"
"5",5,2015,"15.07.2015","","summer","ERI2","R-Estuary-1","River Estuary 1","surface",0,NA,23.9,32.9,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"source"
"6",6,2015,"15.07.2015","","summer","000K","NS-Marine","Nearshore Marine Station","surface",0,NA,24.3,35.4,7.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"sink"
"7",7,2015,"25.11.2015","","autumn","00RI","R-Mouth","River Mouth","surface",0,NA,9.8,5.2,10.01,146.8,NA,NA,29.8,NA,0.6,27.84,28.44,0.69,1.33,31.86,NA,NA,NA,NA,NA,NA,348,"source"
"8",8,2015,"25.11.2015","","autumn","ERI2","R-Estuary-1","River Estuary 1","surface",0,NA,10.8,13.9,8.47,107.8,NA,NA,7.6,NA,0.68,5.36,6.04,0.38,1.6,7.12,NA,NA,NA,NA,NA,NA,110,"source"
"9",9,2015,"25.11.2015","","autumn","000K","NS-Marine","Nearshore Marine Station","surface",0,NA,14.3,36.6,7.33,124.1,NA,NA,5.7,NA,0.65,3.46,4.11,0.21,1.56,4.97,NA,NA,NA,NA,NA,NA,44,"sink"
"10",10,2015,"4.02.2016","","winter","ERI2","R-Estuary-1","River Estuary 1","surface",0,NA,10,12.6,10.15,115.4,NA,NA,43.3,NA,0.48,18.45,18.93,0.76,24.33,47.28,NA,NA,NA,NA,NA,NA,756,"source"
