Family	Genus
Aeromonadaceae	Aeromonas
Bacteroidaceae	Bacteroides
Bdellovibrionaceae	Bdellovibrio
Arcobacteraceae	Arcobacter
Campylobacteraceae	Campylobacter
Carnobacteriaceae	Trichococcus
Chlamydiaceae	Chlamydia
Clostridiaceae	NA
Clostridiaceae	Clostridium
Desulfovibrionaceae	Desulfovibrio
Enterobacteriaceae	Escherichia-Shigella
Enterobacteriaceae	Salmonella
Enterobacteriaceae	Escherichia-Shigella
Yersiniaceae	Yersinia
Enterococcaceae	Enterococcus
Helicobacteraceae	Helicobacter
Lachnospiraceae	NA
Legionellaceae	Legionella
Leptospiraceae	Leptospira
Listeriaceae	Listeria
Moraxellaceae	Acinetobacter
Mycobacteriaceae	Mycobacterium
Porphyromonadaceae	NA
Pseudomonadaceae	Pseudomonas
Ruminococcaceae	NA
Staphylococcaceae	Staphylococcus
Vibrionaceae	Vibrio
